rf_frequency(MHz),Lock in amp mag
5e-08,587.0
1e-07,816.0
1.5e-07,961.0
2e-07,1084.0
2.5e-07,1097.0
3e-07,1054.0
3.5e-07,994.0
4e-07,932.0
4.5e-07,889.0
5e-07,897.0
5.5e-07,936.0
6e-07,985.0
6.499999999999999e-07,1028.0
6.999999999999999e-07,1062.0
7.5e-07,1080.0
8e-07,1074.0
8.499999999999999e-07,1063.0
8.999999999999999e-07,1044.0
9.5e-07,1037.0
1e-06,1032.0
1.05e-06,1048.0
1.0999999999999998e-06,1065.0
1.15e-06,1073.0
1.2e-06,1095.0
1.2499999999999999e-06,1109.0
1.2999999999999998e-06,1113.0
