rf_frequency(MHz),Lock in amp mag
5e-08,1505.0
1e-07,2026.0
1.5e-07,2012.0
2e-07,2148.0
2.5e-07,2126.0
3e-07,2108.0
3.5e-07,2080.0
4e-07,2041.0
4.5e-07,2026.0
5e-07,2028.0
5.5e-07,2049.0
6e-07,2084.0
6.499999999999999e-07,2114.0
6.999999999999999e-07,2133.0
7.5e-07,2143.0
8e-07,2143.0
8.499999999999999e-07,2140.0
8.999999999999999e-07,2136.0
9.5e-07,2126.0
1e-06,2133.0
1.05e-06,2144.0
1.0999999999999998e-06,2155.0
1.15e-06,2168.0
1.2e-06,2181.0
1.2499999999999999e-06,2190.0
1.2999999999999998e-06,2195.0
