rf_frequency(MHz),Lock in amp mag
5e-08,1335.0
1e-07,1757.0
1.5e-07,1816.0
2e-07,1957.0
2.5e-07,1946.0
3e-07,1907.0
3.5e-07,1851.0
4e-07,1792.0
4.5e-07,1766.0
5e-07,1777.0
5.5e-07,1816.0
6e-07,1866.0
6.499999999999999e-07,1908.0
6.999999999999999e-07,1935.0
7.5e-07,1941.0
8e-07,1938.0
8.499999999999999e-07,1930.0
8.999999999999999e-07,1917.0
9.5e-07,1913.0
1e-06,1922.0
1.05e-06,1940.0
1.0999999999999998e-06,1954.0
1.15e-06,1965.0
1.2e-06,1980.0
1.2499999999999999e-06,1987.0
1.2999999999999998e-06,1992.0
